["563029730", "\"2021-01-08 07:23:02 GMT\""]	"563029730,\"2021-01-08 07:23:02 GMT\",1.22848,103.66431,148.9,7.3,511,15,0,\"LCC VII\",\"9V2889\",52,11,22,5,5,0,\"\",\"00-00 00:00\""
["563041068", "\"2021-01-08 07:25:37 GMT\""]	"563041068,\"2021-01-08 07:25:37 GMT\",1.26379,103.87384,143.7,18.6,511,15,0,\"SC 4878 C\",\"\",37,5,5,5,5,0,\"\",\"00-00 00:00\""
["257055860", "\"2021-01-08 07:25:32 GMT\""]	"257055860,\"2021-01-08 07:25:32 GMT\",60.14493,5.42644,14.7,0,0,0,9825817,\"SAMNOY\",\"LEWS\",60,71,63,12,9,4.8,\"HALHJEM-SANDVIKVAAG\",\"01-08 17:30\""
["257628580", "\"2021-01-08 07:26:02 GMT\""]	"257628580,\"2021-01-08 07:26:02 GMT\",66.60433,13.02359,360,0,511,5,0,\"MORVIL\",\"LJ8162\",37,7,5,3,0,0,\"GJEROY\",\"00-00 00:00\""
["257700800", "\"2021-01-08 07:25:51 GMT\""]	"257700800,\"2021-01-08 07:25:51 GMT\",63.63241,8.57259,202.1,0.7,4,0,0,\"FROY SERVER\",\"LMVQ\",52,8,17,5,5,3.4,\"FISHFARMS\",\"00-00 24:60\""
["258033000", "\"2021-01-08 07:24:44 GMT\""]	"258033000,\"2021-01-08 07:24:44 GMT\",-32.15568,115.76533,290.1,0,180,5,9381691,\"FAR SEEKER\",\"JWOW3\",90,16,77,11,10,4.7,\"HENDERSON\",\"01-07 10:30\""
["258090250", "\"2021-01-08 07:23:44 GMT\""]	"258090250,\"2021-01-08 07:23:44 GMT\",59.91806,10.67264,160.2,0,511,15,0,\"HRINGHORNI -NOR14209\",\"LG5244\",36,6,4,2,2,0,\"\",\"00-00 00:00\""
["338955000", "\"2021-01-08 07:24:46 GMT\""]	"338955000,\"2021-01-08 07:24:46 GMT\",34.15332,-119.21002,23.3,0,155,5,8507016,\"INDEPENDENCE\",\"KBGR\",99,19,42,6,6,4,\"PORT HUENEME\",\"11-18 00:00\""
["366897920", "\"2021-01-08 07:24:05 GMT\""]	"366897920,\"2021-01-08 07:24:05 GMT\",40.69156,-74.00446,261.6,0,116,5,9269702,\"JANE A.BOUCHARD\",\"WDB4391\",52,135,28,13,12,7.1,\"US NYC\",\"06-25 20:00\""
["366941020", "\"2021-01-08 07:22:13 GMT\""]	"366941020,\"2021-01-08 07:22:13 GMT\",40.96355,-73.9053,108.2,0.1,199,1,8121812,\"MARION MORAN\",\"WRS2924\",32,131,25,11,13,4.9,\"NEW YORK NY\",\"01-07 17:00\""
["366999983", "\"2021-01-08 07:20:30 GMT\""]	"366999983,\"2021-01-08 07:20:30 GMT\",44.10475,-69.10104,192.8,0,274,5,8635203,\"CG THUNDER BAY\",\"NNTB\",55,12,30,2,10,4,\"UNK\",\"12-16 22:10\""
["244180951", "\"2021-01-08 07:25:51 GMT\""]	"244180951,\"2021-01-08 07:25:51 GMT\",52.33506,4.91691,360,0,511,0,0,\"LAMAYDAY\",\"PF3032\",69,7,2,2,2,0.8,\"\",\"00-00 24:60\""
["244250440", "\"2021-01-08 07:21:06 GMT\""]	"244250440,\"2021-01-08 07:21:06 GMT\",52.4034,4.88509,360,0,511,1,0,\"HAKUNAMA\",\"PF8793\",37,7,12,2,4,2.1,\" NL AMSTERD\",\"01-01 00:00\""
["244630536", "\"2021-01-08 07:25:50 GMT\""]	"244630536,\"2021-01-08 07:25:50 GMT\",51.70986,4.80919,360,0,511,0,0,\"ZILVERMEEUW 2\",\"PF6915\",69,7,32,2,5,0,\"A\",\"00-00 24:60\""
["244670616", "\"2021-01-08 07:25:53 GMT\""]	"244670616,\"2021-01-08 07:25:53 GMT\",52.4941,4.79418,360,0,511,0,0,\"OVING 1\",\"PD7418\",37,10,17,1,4,1,\"0VERAL\",\"00-00 24:60\""
["244700876", "\"2021-01-08 07:24:37 GMT\""]	"244700876,\"2021-01-08 07:24:37 GMT\",53.43681,5.7763,360,0,511,5,0,\"SJOUWER\",\"PB8222\",33,35,5,3,6,0.2,\"WADDENZEE DREDGING\",\"00-00 24:60\""
["227001640", "\"2021-01-08 07:25:26 GMT\""]	"227001640,\"2021-01-08 07:25:26 GMT\",46.15778,-1.2212,170,0.1,511,5,0,\"CAP D AUNIS\",\"FI5352\",33,53,12,9,3,3.5,\"LA ROCHELLE PORT\",\"01-07 18:00\""
