numero_uai;appellation;denomination;patronyme;etat_etabl;nature_uai;lib_nature;sous_fic;field_11;Coord_X;Coord_Y
491273;Ecole maternelle Docteur Calmette;ECOLE MATERNELLE PUBLIQUE;DOCTEUR CALMETTE;1;101;ECOLE MATERNELLE;1;;491273;6766712
490760;Ecole maternelle Berthe Hubert;ECOLE MATERNELLE PUBLIQUE;BERTHE HUBERT;1;101;ECOLE MATERNELLE;1;;490760;6769534
493275;Ecole maternelle Louis Pergaud;ECOLE MATERNELLE PUBLIQUE;LOUIS PERGAUD;1;101;ECOLE MATERNELLE;1;;493275;6767845
491359;Ecole maternelle Cité des Pins;ECOLE MATERNELLE PUBLIQUE;CITE DES PINS;1;101;ECOLE MATERNELLE;1;;491359;6766525
491253;Ecole maternelle Jules Ferry;ECOLE MATERNELLE PUBLIQUE;JULES FERRY;1;101;ECOLE MATERNELLE;1;;491253;6767824
491964;Ecole maternelle Haureau Val d'Huisne;ECOLE MATERNELLE PUBLIQUE;HAUREAU;1;101;ECOLE MATERNELLE;1;;491964;6768788
489663;Ecole maternelle Louise Labé;ECOLE MATERNELLE PUBLIQUE;LOUISE LABE;1;101;ECOLE MATERNELLE;1;;489663;6772591
489510;Ecole maternelle Marie Curie;ECOLE MATERNELLE PUBLIQUE;MARIE CURIE;1;101;ECOLE MATERNELLE;1;;489510;6769705
489991;Ecole maternelle Chasse Royale;ECOLE MATERNELLE PUBLIQUE;CHASSE ROYALE;1;101;ECOLE MATERNELLE;1;;489991;6771954
490177;Ecole maternelle Pesche;ECOLE MATERNELLE PUBLIQUE;PESCHE;1;101;ECOLE MATERNELLE;1;;490177;6770971
491515;Ecole maternelle Germain Pilon;ECOLE MATERNELLE PUBLIQUE;GERMAIN PILON;1;101;ECOLE MATERNELLE;1;;491515;6771666
496553;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I.;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;496553;6728565
485985;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I.;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;485985;6799233
524369;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;524369;6742751
450990;Ecole primaire François Rabelais;ECOLE PRIMAIRE PUBLIQUE;F RABELAIS;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;450990;6746055
450852;Ecole maternelle Pomme d'Api;ECOLE MATERNELLE PUBLIQUE;POMME D'API;1;101;ECOLE MATERNELLE;1;;450852;6746093
523593;Ecole primaire Henri Matisse;ECOLE PRIMAIRE PUBLIQUE;HENRI MATISSE;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;523593;6795430
514238;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I.  CASSINI;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;514238;6791778
456054;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;456054;6774912
511818;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;CLAUDE BOUCHARD;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;511818;6800163
502201;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;502201;6777308
508892;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;508892;6782228
531399;Ecole maternelle;ECOLE MATERNELLE PUBLIQUE;;1;101;ECOLE MATERNELLE;1;;531399;6760241
531901;Ecole primaire Paul Bert;ECOLE PRIMAIRE PUBLIQUE;PAUL BERT;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;531901;6760452
493338;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;JEAN DE LA FONTAINE;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;493338;6750422
520838;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;VINCENT VAN GOGH;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;520838;6788424
474885;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I.;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;474885;6798291
521629;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;521629;6741615
470495;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I.;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;470495;6777789
486487;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;486487;6771046
468399;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;468399;6786771
488885;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I.;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;488885;6806432
481121;ECOLE ELEMENTAIRE DU CHEMIN DE L'ETRE;ECOLE ELEMENTAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;481121;6759380
479579;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I.;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;479579;6777234
469566;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I.;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;469566;6804210
492334;Ecole primaire René Descartes;ECOLE PRIMAIRE PUBLIQUE;RENE DESCARTES;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;492334;6770126
490534;Ecole primaire Edouard de la Boussinière;ECOLE PRIMAIRE PUBLIQUE;EDOUARD DE LA BOUSSINIERE;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;490534;6771822
490685;Ecole primaire Alfred de Musset;ECOLE PRIMAIRE PUBLIQUE;ALFRED DE MUSSET;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;490685;6769514
491233;Ecole primaire Jules Ferry;ECOLE PRIMAIRE PUBLIQUE;JULES FERRY;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;491233;6767841
491384;Ecole primaire Jean Mermoz;ECOLE PRIMAIRE PUBLIQUE;JEAN MERMOZ;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;491384;6766804
491679;Ecole primaire Gounod Michel;ECOLE PRIMAIRE PUBLIQUE;GOUNOD _ MICHEL;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;491679;6767190
492453;Ecole maternelle Les Maillets;ECOLE MATERNELLE PUBLIQUE;LES MAILLETS;1;101;ECOLE MATERNELLE;1;;492453;6772198
491979;Ecole maternelle Pape Carpantier;ECOLE MATERNELLE PUBLIQUE;PAPE CARPANTIER;1;101;ECOLE MATERNELLE;1;;491979;6770202
491084;Ecole maternelle Claude Chappe;ECOLE MATERNELLE PUBLIQUE;CLAUDE CHAPPE;1;101;ECOLE MATERNELLE;1;;491084;6770968
491103;Ecole maternelle Général Gougeard;ECOLE MATERNELLE PUBLIQUE;GENERAL GOUGEARD;1;101;ECOLE MATERNELLE;1;;491103;6770228
491080;Ecole primaire Dulac;ECOLE PRIMAIRE PUBLIQUE;DULAC;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;491080;6770974
491578;Ecole primaire Pierre Belon;ECOLE PRIMAIRE PUBLIQUE;PIERRE BELON;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;491578;6770599
491771;Ecole primaire Pierre Philippeaux;ECOLE PRIMAIRE PUBLIQUE;PIERRE PHILIPPEAUX;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;491771;6768930
492266;Ecole primaire Camille Claudel;ECOLE PRIMAIRE PUBLIQUE;CAMILLE CLAUDEL;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;492266;6772433
490673;Ecole primaire Jean Macé;ECOLE PRIMAIRE PUBLIQUE;JEAN MACE;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;490673;6769358
