CODGEO,REG,DEP,ARR,CV,ZE2010,LIBGEO,P09_ACTOCC15P,P09_SAL15P,P09_NSAL15P,P09_ACTOCC15P_TP,P09_SAL15P_TP,P09_HSAL15P_TP,P09_FSAL15P_TP,P09_NSAL15P_TP,P99_ACTOCC15P,P99_HSAL15P,P99_HSAL15P_TP,P99_FSAL15P,P99_FSAL15P_TP,P09_HACTOCC15P,P09_HSAL15P,P09_HSAL15P_CDI,P09_HSAL15P_CDD,P09_HSAL15P_INTERIM,P09_HSAL15P_EMPAID,P09_HSAL15P_APPR,P09_HNSAL15P,P09_HNSAL15P_INDEP,P09_HNSAL15P_EMPLOY,P09_HNSAL15P_AIDFAM,P09_FACTOCC15P,P09_FSAL15P,P09_FSAL15P_CDI,P09_FSAL15P_CDD,P09_FSAL15P_INTERIM,P09_FSAL15P_EMPAID,P09_FSAL15P_APPR,P09_FNSAL15P,P09_FNSAL15P_INDEP,P09_FNSAL15P_EMPLOY,P09_FNSAL15P_AIDFAM,P09_HSAL1564,P09_HSAL1524,P09_HSAL2554,P09_HSAL5564,P09_HSAL1564_TP,P09_HSAL1524_TP,P09_HSAL2554_TP,P09_HSAL5564_TP,P09_FSAL1564,P09_FSAL1524,P09_FSAL2554,P09_FSAL5564,P09_FSAL1564_TP,P09_FSAL1524_TP,P09_FSAL2554_TP,P09_FSAL5564_TP,P09_ACTOCC15P_ILT1,P09_ACTOCC15P_ILT2P,P09_ACTOCC15P_ILT2,P09_ACTOCC15P_ILT3,P09_ACTOCC15P_ILT4,P09_ACTOCC15P_ILT5,P99_ACTOCC15P_ILT1,P99_ACTOCC15P_ILT2P,P99_ACTOCC15P_ILT2,P99_ACTOCC15P_ILT3,P99_ACTOCC15P_ILT4,P99_ACTOCC15P_ILT5
72082,52,72,722,7229,0051,Le Chevain,295,275,20,44,44,5,39,0,333,171,12,137,56,155,140,118,10,2,1,9,15,7,8,0,140,135,116,14,4,1,0,5,4,1,0,140,16,109,15,5,2,1,2,135,10,108,17,39,5,32,1,20,275,23,2,250,0,27,306,38,5,262,1
72083,52,72,721,7205,5214,Chevillé,183,157,27,25,23,1,22,2,142,53,1,52,23,102,81,73,3,1,0,4,21,13,8,0,82,76,59,13,2,1,1,6,3,3,0,81,8,67,6,1,1,0,0,76,5,62,9,22,3,16,3,33,151,140,6,5,0,38,104,100,1,3,0
72084,52,72,721,7214,5212,Clermont-Créans,558,491,67,87,83,9,74,4,421,192,17,165,52,296,251,225,14,2,2,8,45,23,22,0,262,240,187,39,2,3,9,22,10,10,2,251,27,206,18,9,4,5,0,239,30,188,21,74,10,54,10,74,484,421,48,14,1,79,342,316,21,5,0
72085,52,72,722,7228,5213,Cogners,87,68,19,21,19,4,15,2,67,27,1,18,9,48,33,27,4,0,1,1,15,10,5,0,39,35,27,6,1,0,1,4,3,1,0,33,6,26,1,4,2,1,1,35,5,27,3,15,3,12,0,20,67,55,0,12,0,27,40,37,0,3,0
72086,52,72,722,7218,5213,Commerveil,66,55,11,11,10,1,9,1,61,22,1,23,8,32,26,24,0,1,0,1,6,6,0,0,34,29,27,1,1,0,0,5,4,1,0,26,3,19,4,1,0,0,1,28,2,23,3,8,1,5,2,13,53,46,1,5,0,15,46,43,1,2,0
72087,52,72,722,7228,5213,Conflans-sur-Anille,267,231,36,41,40,10,30,1,287,130,8,110,35,150,117,101,6,4,1,5,33,20,13,0,117,114,88,22,1,1,2,3,2,1,0,117,21,81,15,10,4,3,3,114,13,93,8,30,4,23,3,44,223,174,2,46,1,62,225,194,0,31,0
72088,52,72,722,7222,5213,Congé-sur-Orne,159,125,34,18,17,2,15,1,115,48,4,40,12,87,66,56,3,1,0,6,20,13,8,0,73,59,50,10,0,0,0,14,9,5,0,66,13,50,4,2,1,1,0,59,6,50,4,15,3,10,2,36,124,113,0,10,1,32,83,76,0,7,0
72089,52,72,722,7208,5213,Conlie,721,634,87,136,130,24,106,6,612,282,27,237,111,369,312,274,19,5,4,10,57,29,29,0,352,322,269,37,6,3,7,30,18,11,1,309,38,248,22,22,8,12,2,321,32,252,37,106,11,80,16,231,490,456,24,9,1,241,371,350,9,11,1
72090,52,72,722,7224,5213,Connerré,1148,1043,106,160,155,24,131,5,961,474,18,380,111,607,547,492,20,12,7,15,60,29,32,0,541,496,404,60,14,10,8,45,18,21,7,543,74,431,38,21,9,7,4,495,63,386,46,130,13,95,22,362,786,744,5,35,2,398,563,523,3,36,1
72091,52,72,722,7218,5213,Contilly,81,56,25,21,15,6,8,6,75,20,2,25,11,49,31,18,7,1,1,3,18,11,7,0,33,25,19,5,1,0,0,7,4,1,2,31,7,15,8,6,1,2,3,25,1,21,3,8,0,6,2,21,60,41,1,18,0,31,44,32,0,12,0
