CODGEO,REG,DEP,ARR,CV,ZE2010,LIBGEO,P09_ACTOCC15P,P09_SAL15P,P09_NSAL15P,P09_ACTOCC15P_TP,P09_SAL15P_TP,P09_HSAL15P_TP,P09_FSAL15P_TP,P09_NSAL15P_TP,P99_ACTOCC15P,P99_HSAL15P,P99_HSAL15P_TP,P99_FSAL15P,P99_FSAL15P_TP,P09_HACTOCC15P,P09_HSAL15P,P09_HSAL15P_CDI,P09_HSAL15P_CDD,P09_HSAL15P_INTERIM,P09_HSAL15P_EMPAID,P09_HSAL15P_APPR,P09_HNSAL15P,P09_HNSAL15P_INDEP,P09_HNSAL15P_EMPLOY,P09_HNSAL15P_AIDFAM,P09_FACTOCC15P,P09_FSAL15P,P09_FSAL15P_CDI,P09_FSAL15P_CDD,P09_FSAL15P_INTERIM,P09_FSAL15P_EMPAID,P09_FSAL15P_APPR,P09_FNSAL15P,P09_FNSAL15P_INDEP,P09_FNSAL15P_EMPLOY,P09_FNSAL15P_AIDFAM,P09_HSAL1564,P09_HSAL1524,P09_HSAL2554,P09_HSAL5564,P09_HSAL1564_TP,P09_HSAL1524_TP,P09_HSAL2554_TP,P09_HSAL5564_TP,P09_FSAL1564,P09_FSAL1524,P09_FSAL2554,P09_FSAL5564,P09_FSAL1564_TP,P09_FSAL1524_TP,P09_FSAL2554_TP,P09_FSAL5564_TP,P09_ACTOCC15P_ILT1,P09_ACTOCC15P_ILT2P,P09_ACTOCC15P_ILT2,P09_ACTOCC15P_ILT3,P09_ACTOCC15P_ILT4,P09_ACTOCC15P_ILT5,P99_ACTOCC15P_ILT1,P99_ACTOCC15P_ILT2P,P99_ACTOCC15P_ILT2,P99_ACTOCC15P_ILT3,P99_ACTOCC15P_ILT4,P99_ACTOCC15P_ILT5
72191,52,72,721,7223,5213,Mayet,1163,997,166,230,212,32,181,18,966,446,28,350,121,610,501,430,33,17,2,19,110,65,44,1,553,497,401,67,14,5,10,56,41,13,2,500,56,410,34,31,13,14,4,490,41,404,45,178,16,145,17,400,763,711,8,44,0,455,511,480,5,25,1
72192,52,72,722,7218,0051,Les Mées,45,33,11,6,4,2,2,2,38,12,0,7,2,24,17,13,2,0,0,2,7,6,1,0,21,16,12,3,0,0,1,5,4,1,0,17,3,12,2,2,1,0,1,16,4,11,1,2,0,2,0,14,30,16,0,14,0,17,21,17,0,4,0
72193,52,72,722,7225,5211,Melleray,190,138,52,34,33,5,28,1,162,63,6,54,18,100,66,54,5,4,2,1,34,21,13,0,89,72,60,9,2,0,1,17,15,1,1,65,10,51,4,4,2,0,2,71,9,59,3,27,5,19,3,59,131,93,0,38,0,63,99,74,0,23,2
72194,52,72,722,7222,5213,Meurcé,142,118,24,23,20,3,16,3,95,41,3,27,10,85,69,50,10,6,0,2,16,9,7,0,57,49,40,7,1,0,1,8,3,5,0,69,8,58,2,3,0,3,0,49,7,37,5,16,1,14,1,24,118,114,1,2,0,32,63,61,0,2,0
72195,52,72,721,7217,5213,Mézeray,763,668,96,147,136,31,104,12,580,297,19,203,60,409,351,308,13,12,2,17,58,31,24,2,354,316,260,40,5,4,8,38,20,16,3,347,33,295,20,27,12,14,2,312,20,258,34,101,11,79,12,139,625,594,10,20,0,125,455,439,6,10,0
72196,52,72,722,7222,5213,Mézières-sur-Ponthouin,297,262,35,47,42,3,39,5,211,114,7,72,20,167,146,132,8,2,0,4,21,14,7,0,130,116,93,18,1,2,2,14,7,6,1,146,16,121,9,3,0,3,0,115,12,95,8,38,5,31,2,61,236,227,0,8,1,70,141,130,0,11,0
72197,52,72,722,7208,5213,Mézières-sous-Lavardin,300,267,33,51,46,8,38,5,151,74,5,46,19,170,149,135,9,3,0,2,21,8,13,0,130,118,99,15,1,1,1,12,5,5,1,149,11,130,9,8,0,4,3,117,9,104,4,37,1,35,1,28,272,253,8,11,0,23,128,119,3,6,0
72198,52,72,723,7234,5213,La Milesse,1134,1009,126,212,198,27,171,13,1065,523,19,438,180,594,511,457,30,5,0,19,82,25,54,3,541,497,453,34,2,4,4,44,24,19,0,508,53,397,59,26,8,14,4,494,39,414,40,169,20,133,16,192,943,872,17,54,0,176,889,858,5,24,2
72199,52,72,722,7212,0051,Moitron-sur-Sarthe,92,77,15,17,16,5,11,1,61,26,1,21,4,50,41,36,2,2,1,0,8,5,3,0,42,36,29,7,0,0,0,6,5,0,1,41,1,38,2,5,0,4,1,36,2,33,1,11,0,11,0,8,83,64,3,16,0,7,54,43,3,8,0
72200,52,72,723,7209,5213,Moncé-en-Belin,1560,1420,140,287,272,22,250,15,1104,540,25,464,162,808,709,656,23,13,1,17,99,53,45,0,752,710,633,54,7,7,10,41,21,15,6,707,77,571,59,20,7,12,1,708,56,591,61,248,18,200,31,228,1332,1296,6,31,0,195,909,878,8,22,1
72201,52,72,722,7222,5213,Moncé-en-Saosnois,129,116,13,27,27,6,21,0,86,43,2,23,8,75,67,58,5,1,1,2,8,3,5,0,54,49,40,5,2,2,0,5,4,1,0,66,4,57,5,6,2,2,2,49,3,41,5,21,0,17,4,20,109,91,1,17,0,22,64,59,1,4,0
72202,52,72,722,7222,5213,Monhoudou,98,79,19,18,17,3,14,1,73,31,1,25,13,55,39,33,1,2,1,1,16,6,10,0,44,41,32,4,3,0,1,3,2,1,0,39,4,32,2,3,1,2,0,41,4,35,2,14,4,9,1,15,83,75,0,8,0,11,62,54,0,8,0
72203,52,72,721,7207,5212,Montabon,284,247,37,48,45,7,38,4,264,121,8,106,24,153,130,118,4,5,0,3,24,13,11,0,131,118,103,9,0,3,3,13,9,4,0,130,15,106,9,7,3,2,2,118,8,98,12,38,6,26,6,41,243,210,3,30,1,39,225,198,1,25,1
72204,52,72,722,7228,5213,Montaillé,239,176,63,29,25,5,20,4,228,88,3,75,19,132,88,80,3,4,0,1,44,30,14,0,107,88,77,10,1,0,0,20,11,7,2,88,11,68,9,5,2,2,1,85,2,78,5,20,0,20,1,61,178,156,0,21,0,89,139,122,0,17,0
72205,52,72,723,7201,5213,Montbizot,781,704,77,138,132,14,118,6,473,230,11,192,82,412,361,324,17,5,2,12,51,13,38,0,369,343,290,40,4,7,2,26,11,13,1,359,35,300,24,14,3,8,3,341,30,288,24,118,6,103,9,118,663,633,1,30,0,92,381,368,1,12,0
72207,52,72,722,7211,0051,Montigny,28,20,8,6,5,3,2,1,29,10,1,11,6,16,11,9,0,1,0,2,5,4,1,0,11,9,8,0,1,0,0,3,3,0,0,11,3,6,3,3,2,1,0,9,0,8,1,2,0,2,0,7,21,6,0,15,0,7,22,2,0,20,0
72208,52,72,722,7225,5211,Montmirail,151,113,37,26,22,5,17,4,145,52,7,48,22,84,58,46,7,0,0,5,26,7,19,0,67,55,49,4,0,2,0,12,5,6,1,57,11,44,2,5,3,1,1,54,5,43,6,17,1,14,2,62,89,66,1,21,1,71,74,48,0,26,0
72209,52,72,722,7212,0051,Montreuil-le-Chétif,136,106,30,26,26,7,19,0,103,47,4,28,14,83,64,52,3,0,2,7,19,13,6,0,53,42,33,6,1,1,1,11,7,4,0,63,15,40,8,6,4,2,0,42,2,37,3,19,1,16,2,35,102,79,6,16,0,20,83,64,7,12,0
72210,52,72,721,7213,5213,Montreuil-le-Henri,117,93,24,24,22,6,16,2,82,36,6,17,4,65,51,40,6,0,0,5,14,8,6,0,52,42,28,13,0,0,1,10,7,3,0,49,5,38,6,4,1,2,1,42,4,33,5,16,1,11,4,19,98,91,0,6,1,30,52,48,0,4,0
72211,52,72,722,7230,5213,Mont-Saint-Jean,254,178,76,43,43,10,33,0,237,78,7,57,25,138,89,76,7,1,0,6,48,39,10,0,116,89,67,13,1,3,6,27,21,6,0,89,14,74,2,10,2,7,1,89,13,70,7,33,7,24,2,82,172,116,24,29,2,95,142,99,24,17,2
72212,52,72,722,7229,0051,Moulins-le-Carbonnel,331,276,55,61,55,8,47,6,279,118,11,96,35,184,149,132,4,4,1,7,35,24,10,1,147,127,106,18,1,1,1,19,14,5,0,147,16,118,12,8,2,5,1,127,10,101,16,47,6,34,6,62,269,64,12,193,0,78,201,40,20,139,2
72213,52,72,723,7209,5213,Mulsanne,1905,1796,109,388,386,42,344,2,2310,1236,61,943,369,983,911,801,39,27,2,42,72,23,49,0,922,885,782,76,7,6,14,37,18,16,3,911,109,698,104,42,23,18,1,882,63,704,115,344,26,281,37,334,1571,1504,19,48,0,383,1927,1855,6,62,4
72214,52,72,722,7222,5213,Nauvay,7,4,3,1,1,1,0,0,5,0,0,0,0,4,3,3,0,0,0,0,1,0,1,0,3,1,1,0,0,0,0,1,0,1,0,3,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,3,4,4,0,0,0,5,0,0,0,0,0
72215,52,72,722,7211,0051,Neufchâtel-en-Saosnois,410,369,41,64,61,12,49,3,281,126,8,115,47,220,192,161,13,6,0,11,29,8,20,0,189,177,151,19,3,3,1,12,6,3,3,192,33,138,21,12,2,6,4,175,19,144,12,47,4,40,3,93,317,153,3,161,0,71,210,106,2,101,1
72216,52,72,722,7208,5213,Neuvillalais,273,235,38,61,59,6,53,2,177,81,5,57,26,149,126,110,8,5,1,1,23,14,9,0,124,109,98,6,1,3,1,14,8,6,0,125,11,107,6,6,3,3,0,109,7,95,7,53,4,44,5,49,224,209,7,7,0,48,129,117,5,7,0
72217,52,72,723,7238,5213,Neuville-sur-Sarthe,1082,948,134,207,196,26,170,11,1063,494,16,452,175,560,467,417,18,13,2,17,93,33,60,0,522,481,434,38,1,5,3,41,16,21,4,467,46,364,57,26,10,9,7,480,21,390,69,169,10,128,31,142,940,891,6,43,0,136,927,891,9,27,0
72218,52,72,722,7230,5213,Neuvillette-en-Charnie,123,104,20,22,18,2,16,3,83,29,1,26,9,68,54,44,7,1,0,2,13,11,2,0,55,49,43,4,2,0,0,6,5,1,0,54,4,45,5,2,0,2,0,48,2,43,3,15,1,13,1,16,107,87,15,4,0,26,57,42,11,4,0
72219,52,72,722,7208,5213,Neuvy-en-Champagne,182,142,40,41,37,11,26,4,137,52,3,44,21,98,75,64,8,1,0,2,24,15,8,1,84,68,54,13,0,1,0,16,11,5,0,73,4,62,7,9,0,8,1,67,5,54,8,26,2,21,3,44,138,136,1,1,0,48,89,81,3,5,0
72220,52,72,722,7203,5211,Nogent-le-Bernard,376,327,49,39,37,7,30,2,313,144,5,113,36,212,179,162,8,4,1,4,33,24,9,0,165,149,120,14,10,0,4,16,9,3,4,179,17,148,14,7,2,2,3,149,16,117,15,30,3,21,6,88,288,234,0,54,0,100,213,177,0,36,0
72221,52,72,721,7207,5212,Nogent-sur-Loir,163,133,30,25,24,2,22,1,146,62,4,51,25,92,73,60,8,1,0,4,19,16,3,0,71,60,53,6,0,1,0,11,7,4,0,73,8,60,5,2,1,0,1,59,3,50,6,21,2,17,2,32,131,106,1,24,0,27,119,99,0,20,0
72222,52,72,722,7222,5213,Nouans,109,91,18,25,22,7,15,3,97,42,4,36,14,54,45,39,3,0,0,3,10,4,5,1,55,46,39,6,0,0,2,9,6,3,0,45,5,37,3,7,2,3,2,46,5,37,5,15,2,10,4,23,86,76,2,9,0,29,68,60,3,5,0
72223,52,72,721,7217,5213,Noyen-sur-Sarthe,1034,911,123,137,130,20,109,7,889,423,29,338,111,563,476,402,32,23,2,17,87,36,49,2,470,435,356,50,13,8,7,36,21,11,3,473,63,383,27,18,7,9,2,434,36,360,38,108,12,84,12,344,690,648,20,20,1,365,524,490,14,20,0
72224,52,72,722,7224,5213,Nuillé-le-Jalais,221,205,16,36,35,5,30,1,142,80,2,49,17,121,110,102,2,0,2,4,11,8,4,0,100,95,83,10,0,1,1,5,3,1,1,109,6,96,7,4,0,4,0,95,10,75,10,30,5,24,2,24,197,190,3,5,0,21,121,110,0,10,1
72225,52,72,722,7229,0051,Oisseau-le-Petit,299,267,32,54,53,10,43,1,309,147,6,121,44,157,132,118,6,2,3,3,25,13,12,0,142,135,113,17,2,1,2,7,3,4,0,132,14,105,13,10,2,6,2,134,14,104,16,43,5,33,5,46,253,81,7,165,0,80,229,55,6,168,0
72226,52,72,721,7226,5213,Oizé,482,443,38,71,68,6,62,3,296,142,13,107,45,249,224,203,4,8,2,7,25,13,12,0,232,219,177,29,4,3,6,13,10,4,0,224,17,196,12,6,1,4,1,219,17,193,9,62,4,55,3,58,423,408,3,13,0,56,240,237,1,2,0
72227,52,72,722,7218,5213,Panon,17,15,2,3,3,0,3,0,7,3,0,3,0,10,8,7,0,1,0,0,2,1,1,0,7,7,7,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,7,1,6,0,3,0,3,0,1,16,9,0,7,0,0,7,3,0,4,0
72228,52,72,721,7227,5214,Parcé-sur-Sarthe,918,810,108,150,138,11,126,12,732,329,9,293,70,469,398,349,17,17,0,14,71,27,44,0,449,412,340,51,13,1,6,37,18,17,1,398,36,336,27,11,1,4,6,397,34,331,32,126,12,97,16,178,739,686,39,14,0,184,548,513,21,11,3
72229,52,72,722,7230,5213,Parennes,201,170,31,40,37,5,32,3,142,68,7,37,18,118,95,80,5,5,1,4,23,16,7,0,83,75,62,11,1,0,1,8,4,1,3,95,11,79,5,5,2,2,1,75,7,63,5,32,3,27,2,46,155,119,26,9,1,44,98,70,15,12,1
72230,52,72,721,7231,5213,Parigné-le-Pôlin,483,425,58,84,80,10,70,4,386,183,10,160,57,263,224,190,16,8,1,8,39,18,18,2,220,201,170,19,7,2,2,19,9,7,3,224,26,179,19,10,5,4,1,201,16,163,21,70,7,55,7,61,422,408,2,11,0,70,316,294,11,11,0
72231,52,72,723,7237,5213,Parigné-l'Évêque,2064,1844,219,394,370,47,323,23,1954,924,36,810,288,1068,929,833,33,22,3,37,139,52,87,1,995,916,768,100,18,8,21,80,35,40,4,927,117,738,71,47,15,25,7,900,84,729,87,319,25,251,43,526,1537,1460,20,55,2,512,1442,1380,7,55,0
72232,52,72,721,7227,5214,Notre-Dame-du-Pé,267,251,16,41,38,5,33,3,144,75,2,50,19,147,137,124,4,5,1,4,9,5,5,0,120,113,97,10,4,1,1,7,5,2,0,137,9,117,10,5,2,3,0,113,9,100,4,33,3,28,2,26,241,161,77,4,0,22,122,87,27,8,0
72233,52,72,722,7222,5213,Peray,22,18,4,3,2,1,1,1,19,6,1,8,3,13,9,7,2,0,0,0,4,4,0,0,9,9,8,2,0,0,0,0,0,0,0,9,0,7,2,1,0,1,0,9,0,8,1,1,0,1,0,5,17,17,0,0,0,5,14,12,0,2,0
72234,52,72,722,7230,5213,Pezé-le-Robert,170,142,28,34,32,6,26,2,123,64,4,35,17,96,73,62,3,2,2,4,23,16,7,0,73,68,56,11,0,1,1,5,3,0,2,73,5,61,8,6,2,3,1,68,3,57,9,26,3,20,3,29,141,123,10,8,0,21,102,91,7,4,0
72235,52,72,722,7202,5213,Piacé,174,144,30,20,19,1,18,1,144,66,2,43,19,102,81,70,4,3,1,3,21,11,10,0,72,63,53,5,1,2,2,9,6,3,0,81,12,60,9,1,0,0,1,63,8,51,4,18,0,16,2,40,134,104,3,27,0,46,98,78,1,19,0
72236,52,72,721,7227,5214,Pincé,101,87,14,13,13,3,10,0,85,42,0,37,11,53,44,38,2,3,0,1,9,4,5,0,48,43,38,4,0,0,1,5,1,4,0,43,5,34,4,2,0,2,0,43,2,37,4,10,1,7,2,11,90,81,8,1,0,7,78,67,7,4,0
72237,52,72,721,7205,5213,Pirmil,226,199,27,26,25,3,22,1,156,67,0,52,17,126,107,94,6,3,0,3,19,8,11,0,101,92,76,13,3,0,0,8,3,3,2,107,12,89,5,3,1,1,1,92,9,75,8,22,4,18,0,30,196,188,5,3,0,36,120,115,2,3,0
72238,52,72,722,7218,5213,Pizieux,48,37,12,10,9,2,7,1,46,21,1,13,5,28,18,15,1,1,0,1,10,5,5,0,20,18,16,1,0,0,1,2,2,0,0,18,5,13,1,2,0,1,1,18,0,16,2,7,0,6,1,10,39,24,1,14,0,10,36,27,1,8,0
72239,52,72,721,7205,5214,Poillé-sur-Vègre,307,253,54,47,41,3,38,6,226,97,1,77,32,159,123,112,3,4,0,4,36,14,22,0,148,130,112,15,1,0,2,18,11,6,1,123,10,103,10,3,1,1,1,129,10,105,14,37,5,26,6,66,241,219,17,5,0,50,176,165,10,1,0
72240,52,72,721,7206,5212,Poncé-sur-le-Loir,146,118,28,29,23,7,16,6,129,56,5,37,17,68,53,47,3,1,0,2,15,12,3,0,78,65,52,8,0,3,2,13,8,3,2,53,7,37,8,7,2,2,3,65,11,49,5,16,4,11,1,33,112,81,1,30,0,59,70,55,0,15,0
72241,52,72,722,7224,5213,Montfort-le-Gesnois,1407,1306,102,212,203,22,180,9,1190,624,27,453,159,758,688,613,39,21,0,15,70,20,50,0,649,618,524,54,15,9,16,31,18,11,2,687,80,553,53,22,6,11,5,615,64,505,45,178,22,135,21,284,1123,1075,5,41,1,259,931,878,12,40,1
72243,52,72,721,7226,5213,Pontvallain,612,552,60,120,113,19,95,7,474,231,13,183,59,327,285,253,18,6,0,9,41,17,22,2,285,267,214,36,11,0,6,19,11,7,1,285,24,241,20,19,5,11,3,266,22,222,22,95,13,73,8,155,457,430,4,22,1,142,332,318,0,14,0
72244,52,72,721,7227,5214,Précigné,1404,1239,165,172,163,21,143,9,1093,537,30,420,127,755,650,584,25,18,0,23,105,49,56,0,649,589,501,62,16,4,5,60,39,19,1,647,92,519,36,20,8,9,3,589,59,488,43,143,13,112,18,442,962,767,176,20,0,373,720,571,136,12,1
72245,52,72,722,7210,5211,Préval,311,286,25,40,40,6,34,0,297,145,5,119,30,170,150,135,11,4,0,0,19,8,11,0,141,135,117,10,5,1,2,6,2,4,0,149,16,116,17,6,3,3,0,135,9,116,10,34,5,27,2,27,284,209,0,75,0,34,263,199,0,64,0
72246,52,72,722,7232,5211,Prévelles,100,84,16,23,23,4,20,0,53,31,3,13,2,54,43,39,3,0,0,1,11,9,1,1,46,41,31,9,1,0,0,5,4,1,0,43,3,36,5,4,1,2,1,41,2,37,2,20,0,19,1,12,88,85,0,3,0,13,40,37,1,2,0
72247,52,72,723,7240,5213,Pruillé-le-Chétif,604,546,58,108,103,8,95,5,576,284,17,245,92,311,271,249,8,1,0,12,40,22,18,0,294,276,250,12,2,3,8,18,9,8,1,270,24,212,33,8,3,4,1,274,17,226,30,95,7,78,9,57,547,528,3,16,0,69,507,493,4,10,0
72248,52,72,721,7213,5213,Pruillé-l'Éguillé,321,281,40,66,64,8,56,2,202,87,5,69,31,169,138,123,5,6,0,4,31,15,15,0,152,143,113,25,3,0,2,9,4,5,0,138,12,114,12,8,1,6,1,142,10,120,11,55,5,46,3,53,269,246,1,22,0,53,149,140,0,9,0
72249,52,72,722,7208,5213,La Quinte,421,366,55,67,62,4,58,5,300,141,11,119,50,225,189,171,7,6,0,5,35,19,15,1,196,176,154,19,1,0,2,20,12,7,1,189,17,162,10,4,0,3,1,176,16,154,6,58,4,52,2,48,373,356,10,7,0,55,245,239,2,4,0
72250,52,72,722,7228,5213,Rahay,105,78,27,16,14,3,11,2,91,34,0,27,10,55,41,38,3,0,0,0,15,10,5,0,49,37,33,1,3,0,0,13,9,2,2,41,3,36,2,3,0,2,1,37,5,29,3,11,0,10,1,27,78,55,0,22,0,38,53,32,2,19,0
72251,52,72,722,7222,5213,René,157,110,47,22,18,2,16,4,143,53,4,47,19,89,61,56,2,3,0,0,28,16,11,0,68,49,39,6,4,0,0,19,12,7,0,60,6,50,4,1,0,1,0,48,5,36,7,15,1,12,2,39,119,96,2,20,0,45,98,75,2,21,0
72252,52,72,721,7226,5213,Requeil,488,438,50,92,89,9,80,3,397,207,19,132,64,265,232,201,8,15,0,8,33,20,13,0,223,206,164,26,7,1,8,17,12,4,1,232,29,180,23,9,5,3,1,205,20,163,22,80,4,69,7,75,413,402,3,8,0,71,326,308,7,11,0
72253,52,72,721,7231,5213,Roézé-sur-Sarthe,1147,1031,116,192,181,15,166,11,984,497,26,396,124,612,536,477,26,9,0,24,76,25,50,1,535,495,431,48,6,4,6,40,19,17,4,536,61,442,33,15,4,11,0,495,28,430,37,166,13,139,14,252,895,863,10,21,1,247,737,710,6,19,2
72254,52,72,722,7229,0051,Rouessé-Fontaine,115,101,14,25,25,5,20,1,90,33,3,34,13,59,50,42,6,1,0,1,9,4,6,0,56,51,45,4,1,1,0,5,1,4,0,50,8,38,4,5,3,2,0,51,6,40,6,20,3,15,2,16,99,46,3,50,0,27,63,26,1,36,0
72255,52,72,722,7230,5213,Rouessé-Vassé,329,273,56,43,40,9,31,3,284,129,5,94,37,184,150,131,13,2,0,4,34,27,7,0,145,123,112,9,1,0,1,22,15,7,0,149,14,122,13,9,1,3,5,123,6,107,10,31,2,26,3,76,253,168,81,4,0,78,206,155,47,4,0
72256,52,72,722,7230,5213,Rouez,345,279,66,75,69,14,54,6,274,132,13,86,39,192,149,130,11,2,0,6,42,24,18,0,153,130,106,18,3,0,3,23,12,8,3,149,13,124,12,14,4,8,2,130,10,112,8,54,4,45,5,85,260,211,38,11,0,82,192,149,33,10,0
72257,52,72,723,7240,5213,Rouillon,918,816,103,173,165,21,144,8,990,464,20,426,163,488,414,380,11,12,2,9,74,19,52,2,431,402,378,17,1,1,4,29,14,12,2,411,39,324,48,20,10,5,4,401,19,324,57,144,5,117,22,149,769,735,6,28,0,131,859,827,8,23,1
72258,52,72,722,7211,0051,Roullée,104,84,21,19,17,2,14,2,89,33,3,34,14,59,44,40,1,2,0,1,14,12,2,0,45,39,35,2,1,1,0,6,3,1,2,44,2,35,7,2,1,1,0,39,1,33,5,14,1,11,2,23,82,31,1,50,0,24,65,26,0,39,0
72259,52,72,722,7203,5211,Rouperroux-le-Coquet,142,115,27,23,23,3,20,0,122,51,4,40,18,84,66,55,7,3,0,1,18,7,11,0,58,49,43,2,1,0,3,9,4,5,0,66,13,49,4,3,0,2,1,49,8,35,6,20,3,14,3,41,102,84,0,16,1,34,88,83,0,5,0
72260,52,72,723,7235,5213,Ruaudin,1426,1252,174,283,259,28,231,25,1292,623,28,536,206,731,612,556,28,10,2,17,119,54,65,0,695,640,569,51,9,2,10,55,30,24,1,610,67,474,69,27,10,14,3,639,46,508,85,230,16,184,30,229,1197,1132,14,51,1,178,1114,1082,8,21,3
72261,52,72,722,7208,5213,Ruillé-en-Champagne,152,115,38,26,25,4,21,1,129,45,5,41,29,84,59,54,2,1,0,2,25,13,12,0,68,56,54,1,0,0,1,12,7,4,1,59,8,47,4,4,3,1,0,56,4,50,2,21,2,17,2,30,122,122,0,0,0,41,88,86,0,2,0
72262,52,72,721,7206,5212,Ruillé-sur-Loir,396,325,71,67,64,13,51,3,424,178,13,163,51,199,151,132,5,4,0,10,48,20,28,0,196,174,139,24,6,2,3,22,11,8,3,151,21,110,19,13,5,6,2,173,12,125,36,50,3,40,7,155,240,195,1,43,1,172,252,210,1,41,0
72264,52,72,721,7227,5214,Sablé-sur-Sarthe,4787,4447,339,803,760,150,610,43,5382,2749,121,2197,611,2610,2380,1960,166,190,6,58,229,110,116,3,2177,2067,1561,303,111,40,51,110,48,48,14,2371,298,1861,212,142,47,83,11,2060,283,1538,239,610,100,436,74,3441,1346,944,327,72,2,4268,1114,750,305,52,7
72265,52,72,722,7222,5213,Saint-Aignan,111,94,17,15,15,0,15,0,79,34,1,28,11,59,44,42,0,2,0,0,15,6,9,0,52,50,39,11,0,0,0,2,1,1,0,44,1,39,4,0,0,0,0,50,5,42,3,15,4,9,2,17,94,87,0,7,0,20,59,57,0,2,0
72266,52,72,722,7212,0051,Saint-Aubin-de-Locquenay,266,229,37,38,38,4,34,0,272,129,14,94,33,154,133,122,5,0,1,5,21,10,11,0,112,96,86,8,1,1,0,16,10,5,1,133,21,101,11,4,0,3,1,94,5,83,6,33,1,28,4,42,224,155,11,58,0,57,215,172,13,28,2
72267,52,72,722,7210,5211,Saint-Aubin-des-Coudrais,436,373,63,64,63,9,54,1,393,187,12,145,42,232,198,185,4,6,0,3,34,20,14,0,204,175,153,19,1,0,2,29,22,3,4,198,17,164,17,9,1,7,1,174,16,144,14,53,6,43,4,75,361,313,1,47,0,72,321,278,1,42,0
72268,52,72,723,7209,5213,Saint-Biez-en-Belin,349,323,26,74,73,8,65,1,212,107,7,80,28,192,172,148,9,9,0,6,19,10,9,0,158,151,115,23,8,0,4,7,3,4,0,170,20,142,8,8,2,6,0,151,16,122,12,65,8,50,7,48,302,292,6,3,0,34,178,172,2,4,0
72269,52,72,722,7228,5213,Saint-Calais,1158,1028,130,199,191,47,144,8,1347,649,40,570,158,617,538,456,43,15,2,23,79,34,44,1,541,489,395,69,5,7,13,51,24,26,1,537,96,376,65,47,16,25,5,486,49,374,63,141,14,106,21,685,473,304,2,167,0,840,507,349,4,154,0
72270,52,72,722,7218,5213,Saint-Calez-en-Saosnois,82,62,20,10,9,3,6,1,66,25,0,16,6,50,36,30,4,0,0,2,14,7,7,0,32,26,22,2,1,0,1,6,3,3,0,36,8,26,2,3,2,1,0,25,0,22,3,6,0,6,0,15,67,52,1,14,0,14,52,46,0,6,0
72271,52,72,722,7224,5213,Saint-Célerin,330,303,26,54,52,10,42,2,172,90,12,60,29,173,152,132,5,11,0,5,20,8,12,0,157,151,130,16,3,0,2,6,5,2,0,151,18,129,4,10,5,4,2,150,16,120,14,42,3,34,5,31,299,278,0,20,1,31,141,133,1,7,0
72272,52,72,722,7228,5213,Sainte-Cérotte,168,129,39,16,13,0,13,3,140,60,2,53,19,90,63,49,5,0,5,4,26,13,12,1,78,65,56,8,1,0,0,13,10,1,2,63,12,45,6,0,0,0,0,65,4,54,7,13,0,11,2,35,133,108,0,25,0,30,110,98,0,12,0
72273,52,72,722,7202,5213,Saint-Christophe-du-Jambet,80,67,14,8,8,1,7,0,82,32,1,26,16,41,33,30,2,1,0,0,8,6,2,0,40,34,28,4,0,1,1,6,5,1,0,33,1,30,2,1,0,1,0,34,4,24,6,7,2,4,1,9,72,58,2,12,0,22,60,43,1,15,1
72274,52,72,721,7205,5213,Saint-Christophe-en-Champagne,100,84,17,18,17,3,14,1,91,35,2,32,11,57,47,40,5,0,0,2,10,6,4,0,44,37,28,9,0,0,0,7,5,1,1,47,9,34,4,3,2,1,0,37,2,33,2,14,1,11,2,15,86,80,3,3,0,28,63,58,0,5,0
72275,52,72,722,7224,5213,Saint-Corneille,511,449,62,95,86,9,76,9,376,180,8,136,40,267,225,204,8,7,0,5,42,26,15,0,244,224,197,22,2,2,2,20,11,5,5,225,17,190,17,9,3,5,1,224,9,192,23,76,5,67,5,81,430,411,2,16,0,79,297,283,3,10,1
72276,52,72,722,7218,5211,Saint-Cosme-en-Vairais,752,660,92,112,105,13,92,7,753,355,11,299,80,411,354,314,26,2,0,12,57,25,32,0,341,306,264,25,6,9,2,35,16,18,1,353,40,289,24,13,4,8,1,306,17,249,40,92,6,74,12,317,435,309,1,124,1,408,345,235,1,109,0
72277,52,72,722,7232,5211,Saint-Denis-des-Coudrais,63,46,16,7,7,0,7,0,43,16,1,14,1,37,25,20,2,3,0,0,12,8,4,0,25,21,16,2,2,1,0,4,2,1,1,25,2,23,0,0,0,0,0,21,2,16,3,7,0,4,3,8,54,50,0,4,0,10,33,31,0,2,0
72278,52,72,721,7215,5213,Saint-Denis-d'Orques,319,234,85,54,50,7,43,4,278,100,10,87,33,168,113,92,11,7,0,3,55,32,23,0,151,121,90,21,5,2,3,30,20,9,1,112,16,88,8,7,1,4,2,120,16,96,8,42,5,34,3,126,193,152,34,6,1,148,130,88,35,7,0
72279,52,72,721,7213,5213,Saint-Georges-de-la-Couée,79,43,36,18,14,3,11,4,71,20,2,24,13,44,18,14,1,0,2,1,26,18,9,0,35,25,20,5,0,0,1,10,9,0,1,17,3,11,3,3,1,2,0,25,4,19,3,11,0,10,1,27,52,45,0,7,0,29,42,37,0,5,0
